Date,Manufacturer,Category,Region,Production_Volume,Average_Price,GDP_Growth,Steel_Price,Oil_Price,Interest_Rate,US_Tariff_Rate,US_EV_Subsidy,EV_Share
2010-01-31,Toyota,Passenger_Cars,North_America,30123,26635.79,0.021,689.5,54.19,0.027,0.025,7500,0.0333
2010-01-31,Toyota,Passenger_Cars,Europe,30224,26458.33,0.023,669.67,73.67,0.0271,0.025,7500,0.0333
2010-01-31,Toyota,Passenger_Cars,Asia_Pacific,49076,27753.2,0.0212,685.6,78.81,0.0248,0.025,7500,0.0333
2010-01-31,Toyota,Passenger_Cars,China,56031,28200.47,0.0174,682.33,95.36,0.0313,0.025,7500,0.0333
2010-01-31,Toyota,Commercial_Vehicles,North_America,8799,48154.07,0.0279,694.44,64.11,0.0347,0.025,7500,0.0333
2010-01-31,Toyota,Commercial_Vehicles,Europe,9909,48228.47,0.0152,751.86,63.1,0.0322,0.025,7500,0.0333
2010-01-31,Toyota,Commercial_Vehicles,Asia_Pacific,13967,49403.07,0.0274,691.77,63.31,0.0242,0.025,7500,0.0333
2010-01-31,Toyota,Commercial_Vehicles,China,12818,49866.59,0.0133,713.55,64.1,0.028,0.025,7500,0.0333
2010-01-31,Toyota,Electric_Vehicles,North_America,1542,45863.65,0.0208,704.8,75.54,0.0258,0.025,7500,0.0333
2010-01-31,Toyota,Electric_Vehicles,Europe,1715,43021.69,0.0305,651.56,62.36,0.0378,0.025,7500,0.0333
2010-01-31,Toyota,Electric_Vehicles,Asia_Pacific,2018,44260.74,0.0195,689.7,74.99,0.0235,0.025,7500,0.0333
2010-01-31,Toyota,Electric_Vehicles,China,2403,45314.06,0.0281,664.72,63.19,0.0291,0.025,7500,0.0333
2010-01-31,Volkswagen,Passenger_Cars,North_America,25151,29934.82,0.0187,693.71,82.17,0.0391,0.025,7500,0.0333
2010-01-31,Volkswagen,Passenger_Cars,Europe,33528,29401.58,0.0221,692.17,74.76,0.0259,0.025,7500,0.0333
2010-01-31,Volkswagen,Passenger_Cars,Asia_Pacific,40419,28820.61,0.0131,665.47,87.44,0.0345,0.025,7500,0.0333
2010-01-31,Volkswagen,Passenger_Cars,China,48710,29951.31,0.0162,726.89,77.51,0.0357,0.025,7500,0.0333
2010-01-31,Volkswagen,Commercial_Vehicles,North_America,10577,53254.03,0.0116,716.83,75.94,0.0394,0.025,7500,0.0333
2010-01-31,Volkswagen,Commercial_Vehicles,Europe,9287,50386.9,0.0198,708.03,77.87,0.0318,0.025,7500,0.0333
2010-01-31,Volkswagen,Commercial_Vehicles,Asia_Pacific,11875,51779.94,0.0203,666.75,69.38,0.0305,0.025,7500,0.0333
2010-01-31,Volkswagen,Commercial_Vehicles,China,12993,54705.13,0.0135,735.61,76.42,0.0331,0.025,7500,0.0333
2010-01-31,Volkswagen,Electric_Vehicles,North_America,1481,46662.58,0.0269,724.74,80.01,0.0353,0.025,7500,0.0333
2010-01-31,Volkswagen,Electric_Vehicles,Europe,1625,47123.15,0.0179,712.62,70.89,0.0332,0.025,7500,0.0333
2010-01-31,Volkswagen,Electric_Vehicles,Asia_Pacific,2010,43137.95,0.0262,648.24,55.1,0.0355,0.025,7500,0.0333
2010-01-31,Volkswagen,Electric_Vehicles,China,2166,46092.04,0.0237,718.15,60.25,0.036,0.025,7500,0.0333
2010-01-31,Ford,Passenger_Cars,North_America,23402,25580.73,0.0203,658.01,56.27,0.0284,0.025,7500,0.0333
2010-01-31,Ford,Passenger_Cars,Europe,25940,24661.67,0.0187,738.53,51.49,0.0263,0.025,7500,0.0333
2010-01-31,Ford,Passenger_Cars,Asia_Pacific,31397,25319.12,0.0178,700.4,66.94,0.0236,0.025,7500,0.0333
2010-01-31,Ford,Passenger_Cars,China,36058,25202.59,0.0217,691.85,63.06,0.0308,0.025,7500,0.0333
2010-01-31,Ford,Commercial_Vehicles,North_America,7338,44415.61,0.0103,689.64,63.24,0.0234,0.025,7500,0.0333
2010-01-31,Ford,Commercial_Vehicles,Europe,8210,46562.7,0.0141,720.89,64.75,0.033,0.025,7500,0.0333
2010-01-31,Ford,Commercial_Vehicles,Asia_Pacific,9750,46049.49,0.0142,664.8,59.79,0.0301,0.025,7500,0.0333
2010-01-31,Ford,Commercial_Vehicles,China,11150,45276.23,0.0138,689.54,68.56,0.0464,0.025,7500,0.0333
2010-01-31,Ford,Electric_Vehicles,North_America,1198,38701.37,0.0252,694.38,60.87,0.03,0.025,7500,0.0333
2010-01-31,Ford,Electric_Vehicles,Europe,1366,40491.2,0.0171,670.24,66.7,0.0263,0.025,7500,0.0333
2010-01-31,Ford,Electric_Vehicles,Asia_Pacific,1479,38678.9,0.0166,725.0,69.13,0.0332,0.025,7500,0.0333
2010-01-31,Ford,Electric_Vehicles,China,1796,38312.32,0.0209,683.23,84.13,0.028,0.025,7500,0.0333
2010-01-31,Hyundai-Kia,Passenger_Cars,North_America,19189,22294.23,0.024,672.51,72.55,0.0296,0.025,7500,0.0333
2010-01-31,Hyundai-Kia,Passenger_Cars,Europe,22407,22938.44,0.0178,728.47,65.47,0.031,0.025,7500,0.0333
2010-01-31,Hyundai-Kia,Passenger_Cars,Asia_Pacific,24411,21863.21,0.0137,723.16,73.9,0.0329,0.025,7500,0.0333
2010-01-31,Hyundai-Kia,Passenger_Cars,China,35417,21825.34,0.0184,661.9,65.23,0.0291,0.025,7500,0.0333
2010-01-31,Hyundai-Kia,Commercial_Vehicles,North_America,6281,40824.09,0.0263,704.39,82.48,0.0385,0.025,7500,0.0333
2010-01-31,Hyundai-Kia,Commercial_Vehicles,Europe,7535,42598.21,0.0189,736.35,64.94,0.0352,0.025,7500,0.0333
2010-01-31,Hyundai-Kia,Commercial_Vehicles,Asia_Pacific,10046,38324.44,0.0132,683.53,68.15,0.0323,0.025,7500,0.0333
2010-01-31,Hyundai-Kia,Commercial_Vehicles,China,9686,41107.89,0.0207,725.81,60.5,0.0336,0.025,7500,0.0333
2010-01-31,Hyundai-Kia,Electric_Vehicles,North_America,1017,36160.25,0.0219,697.81,77.3,0.0259,0.025,7500,0.0333
