Date,Manufacturer,Category,Region,Production_Volume,Average_Price,GDP_Growth,Steel_Price,US_Tariff_Rate,US_EV_Subsidy,EV_Share,Oil_Price,Interest_Rate
2010-01-31,Toyota,Passenger_Cars,North_America,32670,26165.76,0.0162,719.68,0.025,7500,0.0333,53.13,0.0259
2010-01-31,Toyota,Passenger_Cars,Europe,34012,27241.14,0.0143,746.56,0.025,7500,0.0333,64.15,0.0223
2010-01-31,Toyota,Passenger_Cars,Asia_Pacific,40651,27621.1,0.0159,703.56,0.025,7500,0.0333,72.48,0.0217
2010-01-31,Toyota,Passenger_Cars,China,51752,28132.94,0.0142,676.91,0.025,7500,0.0333,52.12,0.0347
2010-01-31,Toyota,Commercial_Vehicles,North_America,8753,47997.66,0.024,722.29,0.025,7500,0.0333,75.52,0.0274
2010-01-31,Toyota,Commercial_Vehicles,Europe,10113,47164.68,0.0204,707.67,0.025,7500,0.0333,100.83,0.0237
2010-01-31,Toyota,Commercial_Vehicles,Asia_Pacific,13175,50366.22,0.0223,717.59,0.025,7500,0.0333,74.72,0.0323
2010-01-31,Toyota,Commercial_Vehicles,China,14867,48157.96,0.0231,748.26,0.025,7500,0.0333,84.26,0.0282
2010-01-31,Toyota,Electric_Vehicles,North_America,1585,43860.32,0.0196,708.02,0.025,7500,0.0333,63.17,0.0285
2010-01-31,Toyota,Electric_Vehicles,Europe,1686,45028.68,0.0217,680.91,0.025,7500,0.0333,83.95,0.041
2010-01-31,Toyota,Electric_Vehicles,Asia_Pacific,2055,44137.64,0.0203,626.43,0.025,7500,0.0333,71.32,0.0302
2010-01-31,Toyota,Electric_Vehicles,China,2625,42862.39,0.0229,714.71,0.025,7500,0.0333,58.2,0.0277
2010-01-31,Volkswagen,Passenger_Cars,North_America,26172,30361.13,0.025,728.96,0.025,7500,0.0333,68.77,0.0285
2010-01-31,Volkswagen,Passenger_Cars,Europe,33080,29546.38,0.0313,722.37,0.025,7500,0.0333,62.66,0.0298
2010-01-31,Volkswagen,Passenger_Cars,Asia_Pacific,41473,29241.25,0.0168,679.37,0.025,7500,0.0333,85.42,0.0309
2010-01-31,Volkswagen,Passenger_Cars,China,45083,27972.83,0.0133,732.74,0.025,7500,0.0333,84.62,0.0324
2010-01-31,Volkswagen,Commercial_Vehicles,North_America,8410,55188.47,0.023,706.75,0.025,7500,0.0333,73.84,0.0368
2010-01-31,Volkswagen,Commercial_Vehicles,Europe,9872,50844.52,0.021,668.92,0.025,7500,0.0333,85.29,0.0345
2010-01-31,Volkswagen,Commercial_Vehicles,Asia_Pacific,10126,50483.24,0.0205,656.92,0.025,7500,0.0333,54.14,0.0282
2010-01-31,Volkswagen,Commercial_Vehicles,China,15442,51035.71,0.0263,671.99,0.025,7500,0.0333,66.91,0.0245
2010-01-31,Volkswagen,Electric_Vehicles,North_America,1453,45901.14,0.025,665.27,0.025,7500,0.0333,76.38,0.0417
2010-01-31,Volkswagen,Electric_Vehicles,Europe,1598,45803.76,0.0128,694.32,0.025,7500,0.0333,62.74,0.0328
2010-01-31,Volkswagen,Electric_Vehicles,Asia_Pacific,1580,45831.72,0.0242,734.98,0.025,7500,0.0333,72.48,0.0404
2010-01-31,Volkswagen,Electric_Vehicles,China,2156,47631.79,0.0213,675.19,0.025,7500,0.0333,65.19,0.0407
2010-01-31,Ford,Passenger_Cars,North_America,22141,24881.07,0.0176,705.96,0.025,7500,0.0333,82.22,0.0332
